Date,Views,Video
2020-02-08,5,#1
2020-02-09,9,#1
2020-02-10,6,#1
2020-02-11,14,#1
2020-02-12,10,#1
2020-02-13,17,#1
2020-02-14,9,#1
2020-02-15,4,#1
2020-02-16,11,#1
2020-02-17,12,#1
2020-02-18,7,#1
2020-02-19,17,#1
2020-02-20,9,#1
2020-02-21,11,#1
2020-02-22,5,#1
2020-02-23,12,#1
2020-02-24,10,#1
2020-02-25,10,#1
2020-02-26,19,#1
2020-02-27,7,#1
2020-02-28,7,#1
2020-02-29,9,#1
2020-03-01,21,#1
2020-03-02,15,#1
2020-03-03,23,#1
2020-03-04,18,#1
2020-03-05,14,#1
2020-03-06,17,#1
2020-03-07,8,#1
2020-03-08,18,#1
2020-03-09,18,#1
2020-03-10,25,#1
2020-03-11,13,#1
2020-03-12,9,#1
2020-03-13,9,#1
2020-03-14,24,#1
2020-03-15,18,#1
2020-03-16,11,#1
2020-03-17,15,#1
2020-03-18,33,#1
2020-03-19,18,#1
2020-03-20,25,#1
2020-03-21,8,#1
2020-03-22,13,#1
2020-03-23,18,#1
2020-03-24,26,#1
2020-03-25,21,#1
2020-03-26,17,#1
2020-03-27,17,#1
2020-03-28,12,#1
2020-03-29,13,#1
2020-03-30,22,#1
2020-03-31,25,#1
2020-04-01,32,#1
2020-04-02,26,#1
2020-04-03,19,#1
2020-04-04,27,#1
2020-04-05,15,#1
2020-04-06,29,#1
2020-04-07,13,#1
2020-04-08,25,#1
2020-04-09,27,#1
2020-04-10,17,#1
2020-04-11,9,#1
2020-04-12,11,#1
2020-04-13,29,#1
2020-04-14,17,#1
2020-04-15,21,#1
2020-04-16,23,#1
2020-04-17,33,#1
2020-04-18,8,#1
2020-04-19,17,#1
2020-04-20,21,#1
2020-04-21,17,#1
2020-04-22,22,#1
2020-04-23,23,#1
2020-04-24,23,#1
2020-04-25,19,#1
2020-04-26,16,#1
2020-04-27,29,#1
2020-04-28,24,#1
2020-04-29,16,#1
2020-04-30,20,#1
2020-05-01,19,#1
2020-05-02,24,#1
2020-05-03,32,#1
2020-05-04,58,#1
2020-05-05,23,#1
2020-05-06,13,#1
2020-05-07,11,#1
2020-05-08,16,#1
2020-05-09,11,#1
2020-05-10,18,#1
2020-05-11,39,#1
2020-05-12,23,#1
2020-05-13,32,#1
2020-05-14,32,#1
2020-05-15,25,#1
2020-05-16,17,#1
2020-05-17,16,#1
2020-05-18,25,#1
2020-05-19,32,#1
2020-05-20,29,#1
2020-05-21,39,#1
2020-05-22,15,#1
2020-05-23,16,#1
2020-05-24,14,#1
2020-05-25,47,#1
2020-05-26,33,#1
2020-05-27,23,#1
2020-05-28,29,#1
2020-05-29,14,#1
2020-05-30,8,#1
2020-05-31,11,#1
2020-06-01,34,#1
2020-06-02,23,#1
2020-06-03,24,#1
2020-06-04,19,#1
2020-06-05,18,#1
2020-06-06,5,#1
2020-06-07,15,#1
2020-06-08,24,#1
2020-06-09,25,#1
2020-06-10,22,#1
2020-06-11,10,#1
2020-06-12,6,#1
2020-06-13,12,#1
2020-06-14,15,#1
2020-06-15,9,#1
2020-06-16,34,#1
